Module_DetId/U, GBT_CMSSW_IdPerDTC/U, DTC_CMSSW_Id/U
438043652,1,1
438043656,2,1
438043660,3,1
438043664,4,1
438043668,5,1
438043672,6,1
438043676,7,1
438043680,8,1
438043684,9,1
438043688,10,1
438043692,11,1
438043696,12,1
439092228,13,1
439092232,14,1
439092236,15,1
439092240,16,1
439092244,17,1
439092248,18,1
439092252,19,1
439092256,20,1
439092260,21,1
439092264,22,1
439092268,23,1
439092272,24,1
440140804,25,1
440140808,26,1
440140812,27,1
440140816,28,1
440140820,29,1
440140824,30,1
440140828,31,1
440140832,32,1
440140836,33,1
440140840,34,1
440140844,35,1
440140848,36,1
441189380,37,2
441189384,38,2
441189388,39,2
441189392,40,2
441189396,41,2
441189400,42,2
441189404,43,2
441189408,44,2
441189412,45,2
441189416,46,2
441189420,47,2
441189424,48,2
442237956,49,2
442237960,50,2
442237964,51,2
442237968,52,2
442237972,53,2
442237976,54,2
442237980,55,2
442237984,56,2
442237988,57,2
442237992,58,2
442237996,59,2
442238000,60,2
443286532,61,2
443286536,62,2
443286540,63,2
443286544,64,2
443286548,65,2
443286552,66,2
443286556,67,2
443286560,68,2
443286564,69,2
443286568,70,2
443286572,71,2
443286576,72,2
